1 64
2 119
3 165.7
4 198.1
5 235.6
6 270.3
7 290.7
8 326.4
9 341.7
10 368.8
11 373.6
12 395.8
13 424.2
14 426.2
15 454
16 457.2
17 474.5
18 472.3
19 498
20 500.3
21 515.7
22 517.8
23 534.8
24 535.9
25 542.5
26 548.1
27 561.9
28 572.5
29 563.2
30 578.8
31 584
32 582.8
33 589.7
34 601.7
35 602.9
36 611.3
37 606.4
38 620.1
39 608.2
40 611.8
41 633.3
42 619.8
43 623.6
44 635.1
45 637.1
46 634.6
47 645.6
48 654.6
49 648.3
50 641.8
51 657.6
52 651.7
53 654.1
54 660.4
55 674.1
56 664.2
57 663.8
58 666.8
59 666.7
60 673.6
61 662.9
62 676.9
63 674.4
64 678.7
65 676.4
66 679.9
67 681.1
68 677.9
69 684.4
70 684.4
71 686
72 684.7
73 686.8
74 693.4
75 687.1
76 690.3
77 694.6
78 690.7
79 694.8
80 694.5
81 697.6
82 696.5
83 700.4
84 695.1
85 697.6
86 700.2
87 697.5
88 700.2
89 702
90 700.3
91 701
92 703.9
93 700.5
94 703.3
95 704.2
96 706.2
97 705.8
98 709.2
99 710
100 705.8
110 707.4
120 714.6
130 717.3
140 718.6
150 721.1
160 723.9
170 725.1
180 725.2
190 725
200 726.4
210 726.6
220 727.3
230 727.2
240 727.6
250 727.5
300 728.5
350 728.7
400 728.9
450 729
500 729
600 729
