0 0
0.03125 0.000493407
0.0625 0.00100251
0.09375 0.0015278
0.125 0.00206961
0.15625 0.00262868
0.1875 0.00320561
0.21875 0.00380075
0.25 0.00441486
0.28125 0.00504845
0.3125 0.00570209
0.34375 0.00637646
0.375 0.00707242
0.40625 0.00779029
0.4375 0.008531
0.46875 0.00929516
0.5 0.0100836
0.53125 0.0108971
0.5625 0.0117365
0.59375 0.0126024
0.625 0.0134959
0.65625 0.0144177
0.6875 0.0153688
0.71875 0.0163501
0.75 0.0173625
0.78125 0.018407
0.8125 0.0194849
0.84375 0.0205967
0.875 0.0217439
0.90625 0.0229274
0.9375 0.0241486
0.96875 0.0254087
1 0.0267087
1.03125 0.0280498
1.0625 0.0294336
1.09375 0.0308613
1.125 0.0323344
1.15625 0.0338542
1.1875 0.0354221
1.21875 0.0370401
