0	127.726	307.39
1	134.845	339.17
2	133.969	237.72
3	132.266	305.35
4	140.947	342.24
5	143.568	329.36
6	132.358	321.97
7	134.549	243.236
8	132.707	340.13
9	131.136	323.52
10	135.948	317.98
11	141.475	319.87
12	137.274	346.21
13	136.619	315.03
14	145.024	331.31
15	131.47	320.34
16	129.057	319.54
17	129.904	324.74
18	136.389	334.85
19	132.039	319.06
20	132.308	333.26
21	132.582	325.16
22	141.354	343.13
23	133.809	334.14
24	129.206	238.693
25	135.105	304.04
26	131.397	334.66
27	132.572	237.895
28	134.541	316.94
29	140.123	229.943
30	140.686	347.74
31	133.365	341.05
32	132.253	302.84
33	129.252	303.44
34	136.815	322.05
35	128.136	319.54
36	137.699	307.25
37	138.503	237.454
38	132.006	316.4
39	134.278	308.77
40	130.25	308.12
41	131.842	239.88
42	131.302	340.43
43	144.018	337.98
44	137.505	331.14
45	134.49	302.05
46	138.563	320.87
47	137.784	309.05
48	132.252	336.97
49	140.072	333.28
50	130.519	331.53
51	131.965	238.56
52	135.741	319.53
53	133.95	335.96
54	136.769	340.45
55	136.51	331.8
56	142.64	346.87
57	136.064	234.612
58	137.211	317.12
59	135.304	315.34
60	128.897	230.622
61	131.962	321.56
62	132.346	322.27
63	132.471	340.02
64	130.871	244.699
65	135.306	332.75
66	136.622	343.59
67	143.765	347.01
68	135.992	309.89
69	143.901	325.12
70	134.666	338.08
71	140.838	327.9
72	137.86	315.29
73	141.003	313.81
74	129.223	229.495
75	128.947	310.73
76	130.912	335.99
77	140.024	338.43
78	129.292	317.83
79	136.778	340.86
80	134.001	311.78
81	136.307	301.3
82	140.445	230.559
83	138.116	326.04
84	143.475	333.6
85	125.99	244.454
86	129.228	318.28
87	131.098	329.09
88	130.207	313.47
89	135.031	242.592
90	138.871	323.42
91	142.634	319.97
92	133.534	306.38
93	133.18	324.54
94	138.684	330.01
95	134.34	302.18
96	128.288	230.538
97	133.423	334.91
98	139.686	300.88
99	131.375	329.45
