a	8.91
b	1.47
c	3.96
d	3.25
e	7.66
f	0.30
g	1.42
h	1.08
i	8.21
j	2.28
k	3.51
l	2.10
m	2.80
n	5.52
o	7.75
p	3.13
r	4.69
s	4.32
t	3.98
u	2.50
w	4.65
y	3.76
z	5.64
